date,close,rsi_14,rsi_7,macd_hist,macd,momentum_5,momentum_10,momentum_20,volatility_20,volatility_60,vol_spike,price_vs_sma20,price_vs_sma50,price_vs_sma200,local_dd_20,local_dd_60,local_dd_120,below_sma50,negative_momentum_20,rsi_below_30,rsi_below_50,macd_bearish,return_5d,return_10d,vol_adjusted_return,will_have_drawdown
2023-05-25,8712.72,41.7515075016343,36.15873095491301,-4.7351345130801406,-127.88595726179483,-0.007686604306730627,-0.02649215291480722,-0.04521485273941084,0.1519824446673807,0.13808630527918478,0,-0.01442355414495671,-0.05026377528585835,-0.025916010645185724,-0.04168628158368274,-0.10210357521219195,-0.10210357521219195,1,1,0,1,1,-0.007686604306730627,-0.02649215291480722,-0.17430946490774646,False
2019-05-16,5251.79,27.823003039997985,22.106071595533905,-14.435065335374759,-89.31663222776933,-0.018760546363717934,-0.037918693844364304,-0.059712067738959984,0.1519779154984419,0.1020208533859414,1,-0.02835659301750003,-0.05127246771694576,-0.10655950271907057,-0.06324258986252031,-0.11473508871595757,-0.1346845514025014,1,1,1,1,1,-0.018760546363717934,-0.037918693844364304,-0.2494997001393463,False
2012-12-10,5404.8599,38.012678183595,66.90421173002055,6.529250585452019,-55.59364334503516,0.01258028255562782,-0.00041611878463942986,-0.0315328707338991,0.10272668538115587,0.12034435091992918,0,-0.004606578245709485,-0.03197330690245116,0.02382426665191683,-0.03482574688789299,-0.09496504197210501,-0.09496504197210501,1,1,0,1,0,0.01258028255562782,-0.00041611878463942986,-0.00405069756118307,False
2022-01-11,13079.65,85.21317734534584,83.97653277245395,74.17083801337856,523.5263678703632,0.021804548870594465,0.0984195100649159,0.12152493744844528,0.18068899862795754,0.19958026704651455,0,0.06656201902004408,0.14386132405699828,0.46379443105310597,-0.015156306707206031,-0.015156306707206031,-0.015156306707206031,0,0,0,0,0,0.021804548870594465,0.0984195100649159,0.5446870928786857,False
2023-07-05,10176.13,87.913809989402,93.53885093317896,100.78039838741748,250.52052609805287,0.08958790846978881,0.10029345108860177,0.16248143663323367,0.25382054744386473,0.19399627249728846,1,0.10351035650106857,0.13094726069978097,0.1319602138898896,0.0,0.0,0.0,0,0,0,0,0,0.08958790846978881,0.10029345108860177,0.39513371539420905,False
2013-01-21,5862.02,89.20530874572633,84.34777652545212,14.381983503934478,90.26805791965307,0.02010441086282544,0.019887920580544227,0.06431436202179097,0.0684214506164578,0.09798208957830518,0,0.028767563338252918,0.054992373260820626,0.0985544564210298,-0.0023401188269792724,-0.0023401188269792724,-0.018414330284734853,0,0,0,0,0,0.02010441086282544,0.019887920580544227,0.2906636696195816,False
2019-09-02,5878.29,35.4258373613755,34.30037096185201,-17.31611039804816,43.11966063823729,-0.0005831967321396903,0.0015709814867084226,-0.0032167143119589126,0.07211306847473112,0.09272203052126118,0,-0.0033948667422495577,0.0293951199856714,0.02587222190615939,-0.011935824783951856,-0.019500633189864162,-0.019500633189864162,0,1,0,1,1,-0.0005831967321396903,0.0015709814867084226,0.021784674196532083,False
2021-09-10,8865.2998,60.45023469323641,36.31184909125091,-26.833601519078798,231.37135149218375,-0.048445587268145185,-0.007393109342134663,0.10871128708710831,0.28082950698234904,0.1842277734676508,1,0.011354423538722192,0.06743669538979422,0.18195054845195063,-0.05041577582558136,-0.05041577582558136,-0.05041577582558136,0,0,0,0,1,-0.048445587268145185,-0.007393109342134663,-0.026325876848555276,False
2016-12-01,6309.04,30.55202820247186,71.66085614267251,-1.816193366502013,-52.41113238175785,0.008916952668581946,-0.005554578472406035,-0.018665306173238916,0.06322981959202968,0.050398568671988886,0,-0.004419953663719061,-0.018262469198842664,-0.014143103530533451,-0.021090896587853857,-0.042839118099492625,-0.044629091445754866,1,1,0,1,1,0.008916952668581946,-0.005554578472406035,-0.08784606159218908,False
2014-04-10,6075.0498,77.43167162755826,85.69620561137808,16.025365905649615,27.043180959467463,0.009400993627915577,0.013755202002543099,0.027242397238429694,0.05003833548805369,0.07254418767419704,0,0.015891984767993285,0.010496301151607271,0.019237772204770815,-0.0013972105562446453,-0.028866813236505588,-0.028866813236505588,0,0,0,0,0,0.009400993627915577,0.013755202002543099,0.27488778314865897,False
