date,reference_price,forecast_day_1,day_1_change_pct,forecast_day_2,day_2_change_pct,forecast_day_3,day_3_change_pct,forecast_day_4,day_4_change_pct,forecast_day_5,day_5_change_pct,forecast_day_6,day_6_change_pct,forecast_day_7,day_7_change_pct,forecast_day_8,day_8_change_pct,forecast_day_9,day_9_change_pct,forecast_day_10,day_10_change_pct,avg_predicted_price,max_predicted_price,min_predicted_price,price_volatility
2025-08-28,20800.26,10400.13,-50.0,14586.182324999998,-29.875000000000007,16209.902621249996,-22.068750000000016,16575.922196437496,-20.309062500000017,16941.94177162499,-18.549375000000033,16094.84468304374,-22.62190625000004,15290.102448891554,-26.490810937500036,14525.597326446976,-30.166270390625037,13799.317460124626,-33.65795687109379,13109.351587118395,-36.975059027539096,14753.329241993779,16941.94177162499,10400.13,1869.8719104048907
2025-08-29,20997.36,10498.68,-50.0,14724.3987,-29.875,16363.505115,-22.068750000000005,16732.99303425,-20.309062499999996,17102.4809535,-18.54937500000001,16247.356905824998,-22.621906250000013,15434.989060533748,-26.490810937500015,14663.23960750706,-30.166270390625016,13930.077627131706,-33.657956871093766,13233.57374577512,-36.97505902753908,14893.129474952264,17102.4809535,10498.68,1887.5905232270784
2025-09-01,21062.45,10531.225,-50.0,14770.0430625,-29.874999999999996,16414.230565625,-22.068750000000005,16784.863865468746,-20.309062500000024,17155.497165312496,-18.549375000000023,16297.72230704687,-22.621906250000027,15482.836191694525,-26.49081093750003,14708.694382109798,-30.166270390625037,13973.259663004306,-33.657956871093795,13274.59667985409,-36.9750590275391,14939.296888261582,17155.497165312496,10531.225,1893.441890596921
2025-09-02,20990.67,10495.335,-50.0,14719.707337499998,-29.875,16358.291514374996,-22.068750000000012,16727.661710531247,-20.309062500000007,17097.031906687494,-18.54937500000002,16242.180311353119,-22.621906250000023,15430.071295785461,-26.49081093750003,14658.567730996187,-30.166270390625037,13925.639344446377,-33.65795687109378,13229.357377224058,-36.975059027539096,14888.384352889892,17097.031906687494,10495.335,1886.9891152119565
2025-09-03,20975.73,10487.865,-50.0,14709.230662499998,-29.875000000000007,16346.648585624998,-22.068750000000005,16715.75588446875,-20.309062500000007,17084.863183312496,-18.549375000000015,16230.62002414687,-22.62190625000002,15419.089022939526,-26.49081093750002,14648.134571792549,-30.166270390625026,13915.72784320292,-33.65795687109378,13219.941451042772,-36.9750590275391,14877.787622903086,17084.863183312496,10487.865,1885.6460605414168
2025-09-04,20991.98,10495.99,-50.0,14720.625974999999,-29.875,16359.312413749998,-22.068750000000005,16728.7056618125,-20.309062500000003,17098.098909874996,-18.54937500000002,16243.193964381246,-22.621906250000016,15431.034266162183,-26.49081093750002,14659.482552854073,-30.166270390625023,13926.508425211368,-33.65795687109377,13230.183003950799,-36.97505902753909,14889.313517299717,17098.098909874996,10495.99,1887.1068797111807
2025-09-08,20905.83,10452.915,-50.0,14660.2132875,-29.875,16292.174641875,-22.068750000000005,16660.05191915625,-20.30906250000001,17027.929196437497,-18.54937500000002,16176.532736615622,-22.621906250000023,15367.70609978484,-26.490810937500026,14599.320794795598,-30.166270390625023,13869.354755055818,-33.65795687109377,13175.887017303026,-36.97505902753909,14828.208544852367,17027.929196437497,10452.915,1879.3622906973228
2025-09-09,20674.11,10337.055,-50.0,14497.7196375,-29.875,16111.592349375002,-22.068749999999994,16475.392078781253,-20.30906249999999,16839.1918081875,-18.549374999999998,15997.232217778124,-22.621906250000006,15197.370606889217,-26.490810937500008,14437.502076544755,-30.166270390625016,13715.626972717517,-33.657956871093766,13029.84562408164,-36.97505902753909,14663.8528371855,16839.1918081875,10337.055,1858.5314588193082
2025-09-10,20769.34,10384.67,-50.0,14564.499675,-29.875000000000007,16185.806278749998,-22.06875000000001,16551.281758562498,-20.30906250000001,16916.757238374998,-18.549375000000012,16070.919376456246,-22.62190625000002,15267.373407633433,-26.49081093750002,14504.00473725176,-30.166270390625026,13778.804500389171,-33.65795687109378,13089.864275369711,-36.975059027539096,14731.39812477878,16916.757238374998,10384.67,1867.092308636947
2025-09-11,20641.83,10320.915,-50.0,14475.0832875,-29.875000000000007,16086.436141874998,-22.06875000000002,16449.667844156247,-20.30906250000002,16812.899546437497,-18.549375000000023,15972.254569115621,-22.621906250000027,15173.641840659839,-26.49081093750003,14414.959748626847,-30.166270390625026,13694.211761195504,-33.65795687109378,13009.501173135728,-36.97505902753909,14640.957091270227,16812.899546437497,10320.915,1855.6295977239226
2025-09-12,20612.4,10306.2,-50.0,14454.4455,-29.875000000000007,16063.500974999999,-22.06875000000001,16426.214801249997,-20.30906250000002,16788.928627499994,-18.549375000000033,15949.482196124993,-22.62190625000004,15152.008086318743,-26.490810937500036,14394.407682002806,-30.166270390625037,13674.687297902665,-33.657956871093795,12990.952933007531,-36.9750590275391,14620.082809910673,16788.928627499994,10306.2,1852.9839418367742
