Date,ASI_Price,Predicted_Downturn,Downturn_Probability,Risk_Level,Actual_Downturn,Actual_Days_to_Drop,Actual_Max_Drop_Pct,Prediction_Correct,Predicted_Loss_1M_Portfolio,Actual_Loss_1M_Portfolio
2025-07-15,18946.27,False,0.0018,STABLE,False,,,True,0,0.0
2025-07-16,18884.96,False,0.0011,STABLE,False,,,True,0,0.0
2025-07-17,18876.85,False,0.001,STABLE,False,,,True,0,0.0
2025-07-18,18973.7,False,0.0008,STABLE,False,,,True,0,0.0
2025-07-21,19044.08,False,0.0007,STABLE,False,,,True,0,0.0
2025-07-22,19091.93,False,0.0008,STABLE,False,,,True,0,0.0
2025-07-23,19243.08,False,0.0006,STABLE,False,,,True,0,0.0
2025-07-24,19379.24,False,0.0005,STABLE,False,,,True,0,0.0
2025-07-25,19467.71,False,0.0003,STABLE,False,,,True,0,0.0
2025-07-28,19517.86,False,0.0002,STABLE,False,,,True,0,0.0
2025-07-29,19532.2,False,0.0003,STABLE,False,,,True,0,0.0
2025-07-30,19566.15,False,0.0005,STABLE,False,,,True,0,0.0
2025-07-31,19642.48,False,0.0004,STABLE,False,,,True,0,0.0
2025-08-01,19914.25,False,0.0003,STABLE,False,,,True,0,0.0
2025-08-04,19786.23,False,0.0002,STABLE,False,,,True,0,0.0
2025-08-05,19718.0,False,0.0002,STABLE,False,,,True,0,0.0
2025-08-06,19804.8,False,0.0002,STABLE,False,,,True,0,0.0
2025-08-07,19826.57,False,0.0002,STABLE,False,,,True,0,0.0
2025-08-11,19923.02,False,0.0004,STABLE,False,,,True,0,0.0
2025-08-12,19972.79,False,0.0003,STABLE,False,,,True,0,0.0
2025-08-13,19975.5,False,0.0002,STABLE,False,,,True,0,0.0
2025-08-14,19928.67,False,0.0002,STABLE,False,,,True,0,0.0
2025-08-15,20218.36,False,0.0001,STABLE,False,,,True,0,0.0
2025-08-18,20470.52,False,0.0001,STABLE,False,,,True,0,0.0
2025-08-19,20571.07,False,0.0005,STABLE,False,,,True,0,0.0
2025-08-20,20714.8,False,0.0022,STABLE,False,,,True,0,0.0
2025-08-21,20715.49,False,0.0048,STABLE,False,,,True,0,0.0
2025-08-22,20649.2,False,0.0026,STABLE,False,,,True,0,0.0
2025-08-25,20575.59,False,0.0007,STABLE,False,,,True,0,0.0
2025-08-26,20613.39,False,0.001,STABLE,False,,,True,0,0.0
2025-08-27,20753.21,False,0.0007,STABLE,False,,,True,0,0.0
2025-08-28,20800.26,False,0.0011,STABLE,False,,,True,0,0.0
2025-08-29,20997.36,False,0.001,STABLE,False,,,True,0,0.0
