date,close,prob_minus_5,prob_minus_10,prob_minus_20,prob_plus_5,prob_plus_10,prob_plus_20,alert_minus_5,alert_minus_10,alert_minus_20,alert_plus_5,alert_plus_10,alert_plus_20,vol_regime,actual_plus_5,actual_plus_10,actual_plus_20,actual_minus_5,actual_minus_10,actual_minus_20
2025-09-02,20990.67,0.14775,0.06085,0.0188,0.1572,0.07015,0.02495,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-09-03,20975.73,0.1527,0.06415,0.0172,0.15385,0.073,0.0283,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-09-04,20991.98,0.1354,0.05535,0.0173,0.14195,0.0622,0.0239,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-09-08,20905.83,0.127,0.04985,0.0146,0.13205,0.0562,0.0206,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-09-09,20674.11,0.13195,0.05375,0.01755,0.13765,0.0608,0.0211,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-09-10,20769.34,0.1597,0.06915,0.02315,0.1679,0.0774,0.0297,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-09-11,20641.83,0.17175,0.0769,0.02565,0.1759,0.08385,0.03215,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-09-12,20612.4,0.17275,0.0767,0.0241,0.1833,0.09005,0.03465,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-09-15,20355.39,0.16405,0.0715,0.0236,0.1745,0.0857,0.034,WATCH,NONE,NONE,NONE,NONE,NONE,False,1,0,0,0,0,0
2025-09-16,20619.37,0.19465,0.09165,0.0303,0.20255,0.1033,0.0439,WATCH,NONE,NONE,NONE,NONE,NONE,False,1,0,0,0,0,0
2025-09-17,20775.42,0.2189,0.11005,0.0412,0.23095,0.1256,0.0536,WATCH,NONE,NONE,WATCH,NONE,NONE,False,1,0,0,0,0,0
2025-09-18,20965.26,0.20985,0.1018,0.03665,0.2174,0.1167,0.0501,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-09-19,21085.09,0.20795,0.102,0.0358,0.2173,0.1165,0.04885,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-09-22,21226.87,0.1952,0.0949,0.0331,0.20715,0.1084,0.0455,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-09-23,21282.84,0.19555,0.0917,0.03225,0.2053,0.10635,0.04535,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-09-24,21338.45,0.17545,0.08155,0.0279,0.1898,0.09345,0.04,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-09-25,21521.06,0.1727,0.07655,0.0256,0.17715,0.08605,0.03385,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
2025-09-26,21598.99,0.1768,0.0807,0.0252,0.1902,0.09445,0.03865,WATCH,NONE,NONE,NONE,NONE,NONE,False,0,0,0,0,0,0
