date,close,rsi_14,macd_hist,momentum_10,momentum_20,volatility_20,price_vs_sma20,price_vs_sma50,local_dd_60,below_sma50,negative_momentum_20,rsi_below_50,macd_bearish,return_5d,return_10d,macd,will_have_drawdown
2017-05-05,6640.5698,72.85297312117243,9.461869793528365,0.02079695326863562,0.09219721981369178,0.09701347175398717,0.03010564210626661,0.06757924212733413,0.0,0,0,0,0,0.010487457647431864,0.02079695326863562,124.94153190922952,False
2025-02-10,16566.27,54.62283843009023,-131.55293340152252,-0.020782179306366166,0.03837655862068545,0.17213275781271598,-0.0045679707028322605,0.07830160696605092,-0.03249832240536405,0,0,0,1,-0.0324983224053641,-0.020782179306366166,370.3019316589598,False
2022-03-11,10677.46,34.97311506247918,-65.62582463178859,0.0019151641401700115,-0.11622794493154531,0.4943642672453556,-0.06635717963525087,-0.13028908802149844,-0.2068674284432408,1,1,1,1,-0.0503429095414325,0.0019151641401700115,-481.4388308104062,True
2022-02-21,11591.37,26.447744167217834,-127.96597272227112,-0.09177048563772272,-0.13245845985044713,0.24647541266852097,-0.08272621905540556,-0.06685031629793373,-0.13898126558508547,1,1,1,1,-0.0696985505385318,-0.09177048563772272,-154.6237281400554,True
2020-05-22,4799.8901,35.733561893086446,28.80611449586371,-0.01535262465818621,-0.15314041865567818,0.4682218544242898,-0.030093829365867467,-0.12886041062880596,-0.2202907569850553,1,1,1,0,0.08129012128748547,-0.01535262465818621,-275.238051587663,False
2025-07-28,19517.86,95.13660332954116,41.143347740266904,0.03606836889989018,0.09204632305958671,0.10114035193240158,0.04525720912930682,0.10298044769753273,0.0,0,0,0,0,0.024878072345841717,0.03606836889989018,528.5037301669909,False
2020-09-09,5370.3901,53.9057951306839,-9.343677268304667,0.001338769132664952,0.03348283491422577,0.08003016046700777,0.009178370551898015,0.038324002485713486,-0.002859357680117558,0,0,0,1,0.001940283398279341,0.001338769132664952,48.76625038311431,False
2018-03-14,6519.48,30.791678541015543,-6.684834769375193,-0.006088937834274111,-0.0035931889367648573,0.04333089267353166,-0.005050148663315074,0.0027316493392250877,-0.012009886750935408,0,1,1,1,0.0024016661244501414,-0.006088937834274111,8.501943224578099,False
2018-04-18,6551.8301,69.84608049898924,13.013333482668745,0.014477426602892196,0.008962660468222916,0.054105174471995914,0.013501808349825695,0.006291558482769648,-0.00710741309312541,0,0,0,0,0.017391763177106112,0.014477426602892196,3.199931395337444,False
2025-10-27,22788.79,81.27704456842477,3.8206910774837297,0.021061691709918895,0.05890648508948915,0.05506438416973975,0.02244752656631451,0.06532346569217498,-0.0027202370142160328,0,0,0,0,0.006847723316455889,0.021061691709918895,450.82018084561423,False
2025-05-08,15925.92,67.88933937401576,53.5851061206969,0.02457091132971656,0.03594336953234012,0.2805804546863143,0.020738509880288795,0.004154798042938309,-0.07373999566122424,0,0,0,0,0.007973448000435424,0.02457091132971656,42.808890419404634,False
2014-03-06,5961.9302,35.66839308802756,-6.533162888053425,-0.004060979711438928,-0.041388573108676274,0.08342197256694021,-0.007301849921985552,-0.012214587449952179,-0.046949660497018875,1,1,1,1,0.015175035201631992,-0.004060979711438928,-45.10435400493043,False
2012-04-18,5407.4702,44.27940881061383,4.4154631082487565,-0.0023486217354112826,-0.007630614790857693,0.0765078593311873,-0.0011336839579383997,0.004241134934326859,-0.031690091584384676,0,1,1,0,-0.0010437418523192576,-0.0023486217354112826,-10.19728458913869,False
2021-02-19,7797.9399,32.71772886294474,-106.74535914053288,-0.05769291212727756,-0.01097226792046957,0.46100406825310725,-0.040748047216966544,0.05309098481208873,-0.1150781629861555,0,1,1,1,-0.023426437069505313,-0.05769291212727756,56.313052981479814,True
2016-03-09,5862.3501,9.038757034736506,-21.586626277182816,-0.058860278829785395,-0.08424534935484396,0.08774631257146286,-0.052136175692697,-0.08492661919704662,-0.14970627311625215,1,1,1,1,-0.04106549614069921,-0.058860278829785395,-122.22083913182269,False
2013-12-09,5821.2998,53.65148058537687,7.208966917106636,0.00790036494294788,-0.007081916452557624,0.050435308877455946,0.005158197225356909,-0.0059989431749928185,-0.025970006775526418,1,1,0,0,0.008174382013224957,0.00790036494294788,-19.032836286805832,False
2019-07-02,5391.21,54.30586549442055,5.020425188492427,0.0029038432378927226,0.017305406170393445,0.04994554901949095,0.006949104215958681,0.00628527393662308,-0.04638249535653589,0,0,0,0,0.009119305450480786,0.0029038432378927226,5.016379136170144,False
2018-10-19,5761.0898,40.70411355738936,-1.505222477875492,-0.020850611087789073,-0.02720119863964965,0.08388654223292326,-0.012806621011867284,-0.035752684393470756,-0.06513607112916796,1,1,1,1,-0.00927596278182452,-0.020850611087789073,-58.091453837459085,False
2017-06-05,6676.3198,46.95751123131489,-19.596703556610777,-0.0075190802229716525,0.011189787581405986,0.05303182834001199,-0.0017221106029661286,0.035842245700787534,-0.00792616542511315,0,0,1,1,-0.0004701278247043472,-0.0075190802229716525,56.7418557560668,False
2020-12-18,6616.9502,87.30935448913002,3.8748221182013367,0.03429277671029629,0.08741991783073133,0.08421959534874317,0.031101526111160006,0.08190580611315089,-0.005962452439031427,0,0,0,0,0.0003613392219385947,0.03429277671029629,165.0666065976793,False
2025-07-24,19379.24,88.74636275385387,44.905379351890474,0.06705121661273394,0.10513571804133548,0.10443423828044886,0.04729078944854501,0.1033015275882655,0.0,0,0,0,0,0.02661408020935707,0.06705121661273394,510.79471987620127,False
2013-08-27,5923.3398,31.915634773824905,-29.014546194339964,-0.0337507819024776,-0.02122192350337182,0.14167698409587784,-0.03002749926351003,-0.02820594355547443,-0.08350847611644521,1,1,1,1,-0.048358542379064895,-0.0337507819024776,-28.6176362469605,True
2012-05-10,5163.9399,24.420714394983094,-25.933184558156793,-0.05101320955735644,-0.047814520813165506,0.1239386263360951,-0.04392596192379824,0.004241134934326859,-0.031690091584384676,0,1,1,1,-0.04674581094456709,-0.05101320955735644,-43.27487051152457,False
2020-12-23,6629.02,82.9880152705042,-10.148941466174023,0.0036229938917713422,0.07933029296019578,0.08224560256262302,0.020380301040338923,0.07528577029748705,-0.004149255417909583,0,0,0,1,-0.004004089806196598,0.0036229938917713422,146.5393598749988,False
2025-09-12,20612.4,48.50828550063311,-98.81334007327558,-0.009031617874007192,0.034308862558314335,0.10117105292425074,-0.005921313582069111,0.04131804339792923,-0.02136740977426649,0,0,1,1,-0.018082143752042312,-0.009031617874007192,280.7154321135167,False
2015-11-06,7059.48,58.31757408640843,2.0485373224555374,-0.0013255479841056683,-0.0036933662217774055,0.04551945444822988,0.001129400398872836,-0.007386211768272608,-0.05858283770380891,1,1,0,0,0.0024736937419775895,-0.0013255479841056683,-22.727893927564764,False
2015-06-04,7120.9102,28.00291068865954,-22.491806752166617,-0.023163940700461128,-0.009924488584303393,0.04916829705390353,-0.016131010452402828,0.001869147288476858,-0.02316394070046108,0,1,1,1,-0.01827942372647684,-0.023163940700461128,11.354212380940226,False
2016-10-11,6538.2798,69.32607294292906,5.5800738540053185,0.008481773914170265,0.0066852712250189406,0.04684212190029083,0.0037063779732746716,0.0021257743153339655,-0.009915563555173458,0,0,0,0,-0.008060551291436902,0.008481773914170265,16.599885990844086,False
2018-08-14,6113.0,33.339638347708046,2.6861554107555463,-0.005574832405279118,-0.002874113827408764,0.05218915785606736,-0.006057471605694647,-0.013553827215795405,-0.05838826106985666,1,1,1,0,-0.0007568126996371216,-0.005574832405279118,-18.140664650678445,False
2025-06-24,17191.2,49.51472563868587,-89.48741909097697,-0.017659186388300996,0.04212838804479069,0.17669650636158898,0.0017002952362337378,0.05005858294865145,-0.026625786670969823,0,0,1,1,-0.005251143534149794,-0.017659186388300996,175.99179593195367,False
2023-06-22,9307.87,81.38673313188757,56.77992850428881,0.06165267914783734,0.06830817471467032,0.14208587519087582,0.043488916026551964,0.03824898892566851,-0.011835211559183973,0,0,0,0,0.0030810580131217513,0.06165267914783734,113.40518697675725,False
2016-04-27,6434.2402,86.96470757480218,19.716696794075617,0.02527560583216304,0.05610058166745446,0.08851145177593374,0.02890422360025875,0.04085064793873856,0.0,0,0,0,0,0.007262239920125868,0.02527560583216304,79.80029819979245,False
2021-07-26,8122.73,92.05557772622602,15.368600549867523,0.03982791050536183,0.04915822951847648,0.08654325688635675,0.02858935293499845,0.06398053691786264,-0.001724249006342826,0,0,0,0,0.01706387651424901,0.03982791050536183,125.35499343032734,False
2021-09-23,8830.3496,36.39747380771993,-50.401309348889555,0.007546555821916767,0.008418729675899517,0.2877670436052177,-0.011689404191886656,0.043630047723477526,-0.05415937833203487,0,0,1,1,-0.01129302748451777,0.007546555821916767,90.3939547548216,False
2022-08-24,9011.2402,78.17862309469311,27.548686727077893,0.060145905882353023,0.18100125136138856,0.2074942882936473,0.05856037236273132,0.14182509139944666,-0.019613655826982702,0,0,0,0,0.01166346945672836,0.060145905882353023,362.56318105577884,False
2013-03-20,5734.8198,72.90664075107233,8.564432286386346,0.012617933746361443,-0.0004636530323416377,0.06529685148397334,0.008365362108621785,-0.004460982644154061,-0.02529724609181204,1,1,0,0,0.008617930522525574,0.012617933746361443,-8.192632493402016,False
2024-03-01,10691.24,66.37331853133216,14.525656499438604,0.011617586668256408,0.036862037697056094,0.053482204025866106,0.010303427252934191,0.011403696729494954,-0.016842324029209883,0,0,0,0,0.0033682610144198932,0.011617586668256408,39.65278516360195,False
2022-07-27,7626.6899,77.01953232639656,57.81666377573328,0.03543737413483594,0.042943291690211494,0.20037148294426235,0.02563801914873887,-0.013883981378372007,-0.1000414514609976,1,0,0,0,-0.011072265704294204,0.03543737413483594,2.7328709486137086,False
2013-11-20,5793.5298,15.796770900912819,-12.323607313049083,-0.019073309006047534,-0.018195546750420233,0.059054119671980244,-0.014665849966871054,-0.008918509905785079,-0.030616531407678702,1,1,1,1,-0.00387036540326402,-0.019073309006047534,-23.668462391108733,False
