date,close,returns,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,rsi_7,volatility_10,volatility_20,volatility_60,return_1d,momentum_1,return_3d,momentum_3,return_5d,momentum_5,return_7d,momentum_7,return_10d,momentum_10,return_20d,momentum_20,return_50d,momentum_50,price_vs_sma20,price_vs_sma50,price_vs_sma200,sma20_vs_sma50,sma50_vs_sma200,vol_regime,price_velocity,volume_proxy,drawdown_velocity,consecutive_down_days,fear_index,local_dd_20,local_recovery_20,local_dd_60,local_recovery_60,local_dd_120,local_recovery_120,local_dd_252,local_recovery_252,trend_strength,momentum_accel,will_have_downturn,additional_severity,days_to_trough,will_recover,days_to_recovery
2012-03-30,5420.2002,0.0015077863430426053,5412.43804,5435.50547,,,,5421.968573906832,5442.848999992378,-20.880426085545878,-22.579775045568468,1.69934896002259,44.35402627115423,62.64541308745148,0.09232858266260802,0.10542836198386238,,0.0015077863430426053,0.0015077863430426053,-0.0008847557603686163,-0.0008847557603686163,-0.0003928016112482169,-0.0003928016112482169,0.006704945920303462,0.006704945920303462,-0.005294427663333101,-0.005294427663333101,-0.015869319971390072,-0.015869319971390072,,,-0.0028157951609972046,,,,,,7.1420200000000476,,-0.001553953917050599,0,0.0,-0.026247166924066784,0.013178308571384991,,,,,,,,-0.008043964358303235,False,,,,
2012-04-02,5398.7002,-0.003966643150930094,5407.3620599999995,5427.12549,,,,5418.388824075011,5439.578718511461,-21.18989443645023,-22.301798923744823,1.1119044872945913,46.012005744870244,68.86937769191245,0.09382179670219389,0.09681678436969819,,-0.003966643150930094,-0.003966643150930094,-0.003299062074303971,-0.003299062074303971,-0.005939981145138162,-0.005939981145138162,0.009159391773019276,0.009159391773019276,-0.009314647689862787,-0.009314647689862787,-0.03010969693008625,-0.03010969693008625,,,-0.005237632712266642,,,,,,9.716040000000067,,-0.003966643150930094,1,0.0,-0.01441665917108288,0.009159391773019354,,,,,,,,-0.004020220026529686,False,,,,
2012-04-03,5416.6499,0.003324818814721464,5407.625050000001,5424.128495,,,,5418.12129729424,5437.880287510612,-19.758990216371785,-21.793237182270218,2.034246965898433,49.778610314876055,46.22125124969017,0.0903524395147845,0.08125889891790332,,0.003324818814721464,0.003324818814721464,0.0008517860178418601,0.0008517860178418601,-0.0015391889400920844,-0.0015391889400920844,-0.0010475570271901713,-0.0010475570271901713,0.00048575734851374897,0.00048575734851374897,-0.010944748865434395,-0.010944748865434395,,,-0.0013787643502349563,,,,,,12.113980000000083,,-0.003966643150930094,0,0.0,-0.011139773136018936,0.012514663905839081,,,,,,,,0.009800405038376536,False,,,,
2012-04-04,5400.9102,-0.0029057997637986777,5409.30606,5420.9335,,,,5415.473436172049,5435.141762509827,-19.668326337777216,-21.36825501337162,1.6999286755944034,50.58786432310599,31.736996409097188,0.08669693251738844,0.08150148528934235,,-0.0029057997637986777,-0.0029057997637986777,-0.0035589091340205714,-0.0035589091340205714,-0.0028910547778780993,-0.0028910547778780993,-0.005533054929515169,-0.005533054929515169,0.003122174493004115,0.003122174493004115,-0.011692977218000555,-0.011692977218000555,,,-0.0036936996183406113,,,,,,13.575880000000144,,-0.003966643150930094,1,0.0,-0.01401320294967019,0.009572499034618806,,,,,,,,0.002636417144490366,False,,,,
2012-04-05,5423.25,0.004136302803183112,5416.66104,5418.212505,,,,5416.669830607119,5434.260891212802,-17.591060605682287,-20.612816131833753,3.021755526151466,45.49016358374359,49.11302045077019,0.07969045575860624,0.0825898030493737,,0.004136302803183112,0.004136302803183112,0.004547353824166711,0.004547353824166711,0.0020713076769574013,0.0020713076769574013,-0.00032258064516133,-0.00032258064516133,0.013748396592392131,0.013748396592392131,-0.009934862997129423,-0.009934862997129423,,,0.00092973374435774,,,,,,17.13788000000004,0.4,-0.003966643150930094,0,0.0,-0.006095434851047059,0.013748396592392182,,,,,,,,0.010626222099388016,False,,,,
2012-04-09,5413.1201,-0.0018678652099755055,5415.74004,5416.04302,,,,5416.123718206024,5432.69490667852,-16.571188472496033,-19.804490599966208,3.233302127470175,43.856499328966976,48.28115050022398,0.04255536809412089,0.08180785697094363,,-0.0018678652099755055,-0.0018678652099755055,-0.0006516574017457755,-0.0006516574017457755,-0.0013062432638558663,-0.0013062432638558663,-0.0006368790816653203,-0.0006368790816653203,-0.0016985317806453848,-0.0016985317806453848,-0.007951914610324629,-0.007951914610324629,,,-0.0005396781357176104,,,,,,17.53181999999997,0.45,-0.003966643150930094,1,0.0,-0.007908314654516793,0.011854851230728755,,,,,,,,-0.015446928373037516,False,,,,
2012-04-10,5392.3398,-0.003838876584319695,5411.87802,5412.84651,,,,5412.464653866636,5429.7056395171485,-17.240985650512812,-19.29178961007553,2.0508039595627174,46.14367454391174,41.552200862688444,0.04493762160722916,0.08270125418637672,,-0.003838876584319695,-0.003838876584319695,-0.0015868436397998842,-0.0015868436397998842,-0.0011781354334142735,-0.0011781354334142735,-0.0036400691790896555,-0.0036400691790896555,-0.007111118476291534,-0.007111118476291534,-0.011716832194887838,-0.011716832194887838,,,-0.0037885260485615666,,,,,,17.38788000000004,0.45,-0.003838876584319695,2,0.0,-0.010481809206783845,0.00797046533560881,,,,,,,,-0.005412586695646149,False,,,,
2012-04-11,5425.73,0.006192154285232565,5411.95102,5412.97002,,,,5414.505476348691,5429.411147701063,-14.905671352371428,-18.41456595853471,3.508894606163281,57.31454003045862,51.94945201591431,0.0565705716571467,0.08336869581668471,,0.006192154285232565,0.006192154285232565,0.0004572903701653974,0.0004572903701653974,0.0016763313427361481,0.0016763313427361481,0.0010202206184191098,0.0010202206184191098,0.00013456221198149265,0.00013456221198149265,0.0004554825125655526,0.0004554825125655526,,,0.00235729737147146,,,,,,20.475979999999982,0.55,-0.003838876584319695,0,0.0,-0.00435455990134811,0.014211973971924509,,,,,,,,0.007245680688273026,False,,,,
2012-04-16,5434.7998,0.0016716275966552896,5413.77402,5413.80652,,,,5417.627679987354,5429.810307130614,-12.182627143260106,-17.16817819547979,4.985551052219684,66.41332297123887,63.948905478327816,0.05637609040498467,0.08347559127389864,,0.0016716275966552896,0.0016716275966552896,0.00400502844930406,0.00400502844930406,0.006274794200429312,0.006274794200429312,0.006686720629532239,0.006686720629532239,0.0033655986487979295,0.0033655986487979295,0.003087815516883863,0.003087815516883863,,,0.0038777300079796137,,,,,,19.142000000000007,0.45,-0.003838876584319695,0,0.0,-0.002690211507195256,0.01590735869647416,,,,,,,,0.003231036436816437,False,,,,
2012-04-17,5434.7998,0.0,5416.05,5415.6865,,,,5420.269544604684,5430.179899195013,-9.910354590329007,-15.716613474449634,5.806258884120627,53.341121428722566,58.14264192360295,0.0560421210677403,0.08212468330081987,,0.0,0.0,0.00787413285787375,0.00787413285787375,0.0021296823860230685,0.0021296823860230685,0.0033507611411252025,0.0033507611411252025,0.00420540129045599,0.00420540129045599,0.006966500890591254,0.006966500890591254,,,0.00352924786174384,,,,,,14.674040000000058,0.25,-0.003838876584319695,0,0.0,-0.002690211507195256,0.01590735869647416,,,,,,,,0.0008398026416580606,False,,,,
