date,close,rsi_7,rsi_14,rsi_21,rsi_slope,macd,macd_hist,macd_acceleration,macd_divergence,momentum_3,momentum_5,momentum_10,momentum_20,momentum_acceleration,volatility_10,volatility_20,volatility_60,vol_regime,vol_spike,vol_cluster,price_vs_sma20,price_vs_sma50,price_vs_sma200,trend_strength,local_dd_10,local_dd_20,local_dd_60,local_dd_120,below_sma50,below_all_ma,negative_momentum_10,negative_momentum_20,rsi_oversold,rsi_below_50,macd_bearish,macd_declining,return_5d,return_10d,vol_adjusted_return_5,vol_adjusted_return_10,consecutive_red_days,extreme_moves,will_have_drawdown
2018-12-12,6035.27,53.31393856176033,65.91939645229556,57.65362282675276,-1.3285415310434696,27.439496091707042,2.788270409773098,-1.0521261108409092,0.22897294948698052,-0.005593832301553192,0.006342928318573859,0.009046706356402145,0.009083873255439245,-0.00013866161580633474,0.05962596841800374,0.05798511618620593,0.10534007513654928,0,0,0,0.007218180281560953,0.018760937232375766,-0.02814919190708775,0.02597911751393672,-0.005593832301553223,-0.005593832301553223,-0.012897975883698426,-0.04361609580259259,0,0,0,0,0,0,0,1,0.006342928318573859,0.009046706356402145,0.10637683730804397,0.15601504207233366,4.0,0,False
2016-05-03,6583.1001,82.36030689525727,86.90527132754183,90.20255898773829,0.29060741565291476,96.42125569871223,22.004696317311414,3.6007036313986447,0.9706800726331783,0.02313558328145704,0.03190992226417677,0.02839731581602889,0.0897385829230446,0.002731573376494323,0.08859441171730237,0.08654698429283224,0.10603810705409583,0,0,0,0.04104492190526993,0.06324588631486504,-0.029471279156387357,0.10429080822013496,0.0,0.0,0.0,-0.07203033995989169,0,0,0,0,0,0,0,0,0.03190992226417677,0.02839731581602889,0.36017578840310166,0.3281106550089891,3.0,0,False
2023-06-01,8691.61,55.61383216259324,35.98252341825818,49.152527899522575,0.4007145768677825,-128.7558467687577,1.0477108632833279,10.751283629126362,-0.5230292574892103,0.013585831552014982,-0.0024228943429834837,-0.010090874819622564,-0.012306944048291357,0.0202957841099366,0.15864734029073516,0.12641143559642937,0.14055856447438542,0,0,0,-0.008132095527372244,-0.042359026323214206,-0.030084318617620676,0.05049112185058645,-0.007259710548167482,-0.028850859570359978,-0.10427908338039539,-0.10427908338039539,1,1,1,1,0,1,0,0,-0.0024228943429834837,-0.010090874819622564,-0.015272106462275907,-0.07982501699308758,6.0,0,False
2021-06-02,7436.5498,72.57170970119955,75.16440746032465,61.518048554237986,2.569103599207288,34.307448318895695,24.70095298843361,1.5697227771563398,0.8747086461015307,0.014063002174469874,0.02805936993771585,0.01175619768118441,0.031679142319049225,-0.01899960283982849,0.10117016338218486,0.1285686658177323,0.19451346466602779,0,0,0,0.02383387872997069,0.026665005826993774,0.12280112255062114,0.05049888455696447,-0.0018777430897626462,-0.0018777430897626462,-0.02718730658584879,-0.15608924992343973,0,0,0,0,0,0,0,0,0.02805936993771585,0.01175619768118441,0.2773455300866571,0.09143834672364061,4.0,0,False
2015-01-08,7497.5952,90.73768823450429,84.80546861997225,76.56797980179374,6.045599302403711,38.059510390296055,28.093606730474725,4.895189865429746,0.8986147168268478,0.020303919468662057,0.028289231931665215,0.033927605356574686,0.03536878428782675,0.008292957620970931,0.06764883106273124,0.062429861410183425,0.10680248988161338,0,0,0,0.02894939503250641,0.025021828018948283,0.10502832271488476,0.05397122305145469,0.0,0.0,-0.006708168670006056,-0.006708168670006056,0,0,0,0,0,0,0,0,0.028289231931665215,0.033927605356574686,0.41817150889013743,0.5434428516637538,2.0,0,False
2014-02-03,6219.3398,48.04634553258398,67.23255882568017,74.59718261872936,-3.8600329396932374,87.53481807332264,-2.28985038149537,-4.253627040802385,0.9079599025209623,-0.005246251599512308,-0.004238089147154844,0.010177497931433965,0.04210759311264667,-0.008910636045230236,0.076176025002251,0.08251311456156986,0.06852236817670483,0,0,1,0.01182304151950686,0.04572696163556194,0.035913318645162784,0.0575500031550688,-0.0058011903805242964,-0.0058011903805242964,-0.0058011903805242964,-0.0058011903805242964,0,0,0,0,0,0,1,1,-0.004238089147154844,0.010177497931433965,-0.055634742194639535,0.123342509163566,5.0,0,False
2022-04-04,8244.5498,0.16302530161664208,9.48919568832568,20.865921567864987,-7.438090396600468,-716.6068139457166,-167.55509527181937,-31.774803423962737,-0.4631420631997115,-0.11300185856968115,-0.18711160891672396,-0.20890851239812158,-0.26672680813519634,-0.02710136470494917,0.34485942362884503,0.4363501745430238,0.3716658870348234,1,0,1,-0.18204209643609545,-0.27820307678284567,-0.1809809100616098,0.4602451732189411,-0.21411170232033194,-0.24779368440644525,-0.3875864686730959,-0.3875864686730959,1,1,1,1,1,1,1,1,-0.18711160891672396,-0.20890851239812158,-0.5425719975282007,-0.4787623469030525,8.0,0,True
2021-03-02,7343.3799,25.75393669964754,35.38944600930489,29.08786174319077,0.2746105417140485,-81.40326051905868,-88.53169355865953,5.0266975335925395,-0.9876217904957219,-0.0038633398336830327,-0.03344910460003614,-0.07131286777863921,-0.15801986837308324,-0.0028256918237237194,0.3331985028768623,0.41851727795582233,0.30995772931870696,1,0,1,-0.0564348280107029,-0.02227138966168129,0.23429255267095456,0.0787062176723842,-0.05829231897516938,-0.14283650736471715,-0.16666230897745937,-0.16666230897745937,1,1,1,1,0,1,1,0,-0.03344910460003614,-0.07131286777863921,-0.10038761856255722,-0.17039367581973758,5.0,0,False
2025-04-16,15625.88,49.38416376726138,45.634612515144354,47.24491516667006,0.4724839532167962,-194.19791343037468,13.104588468549707,26.08501970113923,-0.04780455587600141,0.050412242579465305,0.06585268528592225,-0.011947021844067818,-0.014788997026564332,0.01045939142977692,0.4305262611625433,0.31696644683669395,0.2369908324208823,1,1,1,0.0025355824751762067,-0.03335890071042224,0.15008816612969708,0.035894483185598444,-0.023836416066529146,-0.023836416066529146,-0.09119048214500709,-0.09119048214500709,1,0,1,1,0,1,0,0,0.06585268528592225,-0.011947021844067818,0.1529582240810993,-0.037691636675305305,5.0,0,False
2017-08-01,6604.71,8.578390636896998,16.37579934302525,28.34198809225326,-5.647859897206085,-16.658931992315047,-12.809131314863894,-1.9407704290382455,-0.9338755967832426,-0.009619320387882269,-0.00865008416412505,-0.019351035777070313,-0.01921850364068567,-0.003970732193802173,0.03710121736265867,0.04286019025977869,0.049161492888986316,0,0,0,-0.014343676012623667,-0.01390153399004902,0.03297506390225099,0.028245210002672688,-0.013520073246176685,-0.023858521640720918,-0.023858521640720918,-0.023858521640720918,1,1,1,1,1,1,1,1,-0.00865008416412505,-0.019351035777070313,-0.2331419731487768,-0.45148153048912154,9.0,0,False
